"id";"name_school";"name_school_kz";"region_id";"address";"address_kz"
"17";"КГУ «Областная школа-интернат для одаренных детей №4 имени Е. Ауельбекова» Управления образования Кызылординской области";"Қызылорда облысы білім басқармасының «Е. Әуелбеков атындағы № 4 облыстық дарынды балаларға арналған мектеп-интернаты» КММ";"10";"г. Кызылорда, улица Амангельды 25";"Қызылорда қаласы, Амангелді көшесі, 25"
"18";"КГУ «Областная школа-интернат №2 для одаренных детей» Управления образования Кызылординской области, город Аральск";"Қызылорда облысы білім басқармасының «№2 облыстық дарынды балаларға арналған лицей-интернаты» КММ, Арал қаласы";"10";"Кызылординская область, г. Аральск, ул. Бактыбай батыра №127";"Қызылорда қаласы,  Бақтыбай батыр көшесі №127 үй"
"19";"ГУ «Областная специализированная школа-интернат для одаренных детей с углубленным изучением различных предметов» Управления образования Мангистауской области";"Маңғыстау облысы білім басқармасының «Түрлі пәндерді тереңдетіп оқытатын дарынды балаларға арналған облыстық мамандандырылған мектеп-интернаты» КММ";"11";"Мангистауская область, г. Актау        32, б микр зд, 1";"Маңғыстау облысы, Ақтау қаласы, 32 б шағын ауданы, 1 ғимарат"
"20";"ГУ «Специализированная общеобразовательная школа «Зерде» для одаренных детей с государственным языком обучения для одаренных детей» Управления образования Павлодарской области, акимата Павлодарской области";"Павлодар облысы әкімдігі Павлодар облысы білім басқармасының «Мемлекеттік тілде оқытатын дарынды балаларға арналған «Зерде» мамандандырылған жалпы білім беру мектебі» ММ, Екібастұз қаласы";"12";"Павлодарская область, г. Экибастуз, ул. Бауыржан Момышұлы 97";"Павлодар облысы, Екібастұз қаласы,  Бауыржан Момышұлы көшесі, 97 үй"
"21";"ГУ «Областная казахская гимназия-интернат для одаренных детей имени Ы. Алтынсарина» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Ы.Алтынсарин атындағы дарынды балаларға арналған облыстық қазақ гимназия-интернаты» ММ";"12";"г.Павлодар, ул. Айманова 35 ";"Павлодар қаласы, . Айманова көшесі , 35 үй "
"22";"ГУ «Специализированная гимназия для одаренных детей города Аксу» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Ақсу қаласының дарынды балаларға арналған мамандандырылған гимназиясы» ММ";"12";"Павлодарская область,   г. Аксу, ул.Ауезова 58";"Павлодар қаласы, Әуезов көшесі. 58 үй"
"23";"ГУ «Школа-лицей №8 для одаренных детей» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Дарынды балаларға арналған № 8 лицей-мектебі» ММ";"12";"г. Павлодар, улица Астана,12";"Павлодар қаласы,  Астана көшесі,  12 үй"
"24";"КГУ «Областная специализированная школа-лицей-интернат для одаренных детей ЛОРД» КГУ «Управления образования Северо-Казахстанской области»";"«Солтүстік Қазақстан облысы әкімдігінің білім басқармасы» КММ «ЛОРД» дарынды балалар үшін мамандандырылған облыстық мектеп-лицей-интернаты» КММ";"13";"г. Петропавловск,  ул Ж.Кизатова, 5";"Петропавл қаласы,   Ж.Кизатова көшесі, 5"
"25";"КГУ «Специализированная школа-интернат №4 Сарыагашского района» Управления развития человеческого потенциала Туркестанской области";"Түркістан облысының адами әлеуетті дамыту басқармасының «Сарыағаш ауданының № 4 мамандандырылған мектеп-интернаты» КММ";"14";"Туркестанская область,  Сарыагашский район,  ул. Майлықожа 20Б";"Түркістан облысы,  Сарыағаш ауданы,  Майлықожа көшесі, 20Б"
"26";"КГУ «Специализированная школа-интернат Жетисайского района» Управления развития человеческого потенциала Туркестанской области";"Түркістан облысының адами әлеуетті дамыту басқармасының «Жетісай ауданының мамандандырылған «Дарын» мектепинтернаты» КММ";"14";"Туркестанский область, Жетысайский район, город Жетысай, ул. С. Кожанова 35.";"Түркістан облысы,  Жетісай ауданы, Жетысай қ., С. Қожанов көшесі, 35."
"27";"КГУ «Специализированная школа – гимназия для одаренных детей №90 имени Абая» Управления образования г. Шымкент";"Шымкент қаласы білім басқармасының «Абай атындағы №90 дарынды балаларға арналған мамандандырылған мектеп-гимназиясы» КММ";"14";"г. Шымкент, микр. Асар, здание 1967 А";" Шымкент қ.,  Асар шағын ауданы,  1967 А ғимарат"
"28";"Школа-лицей №1имени А. Байтурсынова"" отдела развития человеческого потенциалагорода Туркестан  Управления развития человеческого потенциала Туркестанской области";"Түркістан облысының адами әлеуетті дамыту басқармасы Түркістан қаласының адами әлеуетті дамыту бөлімінің ""А. Байтұрсынов атындағы № 1 мектеп-лицейі""";"14";"г. Туркестан, пр. Саттарханова, д.1";"Туркестан қаласы,  Саттарханов даңғылы, 1 үй"
"29";"КГУ «Специализированная школа – гимназия для одаренных детей №90 имени Абая» Управления образования г. Шымкент";"Шымкент қаласы білім басқармасының «Абай атындағы №90 дарынды балаларға арналған мамандандырылған мектеп-гимназиясы» КММ";"15";"г. Шымкент, микр. Асар, здание 1967 А";" Шымкент қ.,  Асар шағын ауданы,  1967 А ғимарат"
"30";"КГУ «Специализированный лицей №178» Управления образования города Алматы";"Алматы қаласы білім басқармасының «№178 мамандандырылған лицейі» КММ";"16";"г. Алматы, ул. Суаткол, 41 ";"Алматы қ., Суаткол көшесі,  41 "
"31";"КГУ «Специализированная школа №9 «Зерде» акимата города Нур-Султан";"Нұр-Сұлтан қаласы әкімдігінің №9 «Зерде» мамандандырылған мектебі» КММ";"17";"г. Нур-Султан, проспект Сарыарка, 20";"Нұр-Сұлтан қ., Сарыарқа даңғылы, 20"
"32";"КГУ «Специализированная школа-интернат №3 имени Маулена Калмырзы Шардаринского района» Управления развития человеческого потенциала Туркестанской области
";"Түркістан облысының адами әлеуетті дамыту басқармасының «Шардара ауданының № 3 мамандандырылған мектеп-интернаты» КММ";"14";"Туркестанская область, г. Шардара, ул. Б.Момышұлы, 27";"Туркестанская область, г. Шардара, ул. Б.Момышұлы, 27"
"33";"КГУ «Специализированная школа-лицей №90» Управления образования города Алматы";"Алматы қаласы білім басқармасының «№ 90 мамандандырылған мектеп-лицей» КММ";"16";"г.Алматы, ул.Чайковского, 28";"Алматы қаласы, Чайковского, 28"
"34";"ГУ «Специализированная школа-лицей № 92 для одаренных детей» имени Махатма Ганди Управления образования города Алматы";"Алматы қаласы білім басқармасының Махатма Ганди атындағы «Дарынды балаларға арналған № 92 мамандандырылған мектеплицейі» КММ";"16";"г. Алматы, ул.Панфилова 205";"Алматы қаласы,  Панфилова 205"
"35";"ГУ «Специализированная школа «Жас дарын» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Жас дарын» мамандандырылған мектебі» ММ";"12";;
"36";"КГУ «Специализированная гимназия для одаренных детей имени Абая» Управления образования Павлодарской области, акимата Павлодарской области";"Павлодар облысы әкімдігі Павлодар облысы білім басқармасының ""Дарынды балаларға арналған Абай атындағы мамандандырылған гимназия"" КММ";"12";;
"37";"ГУ «Гимназия № 3 для одаренных детей» Управления образования Павлодарской области";"Павлодар облысы білім басқармасының «Дарынды балаларға арналған № 3 гимназия» ММ";"12";;
"38";"ГУ «Областной многопрофильный школа-лицей для одаренных детей» Управления образования Павлодарской области, акимата Павлодарской области";"Павлодар облысы әкімдігі Павлодар облысы білім басқармасының «Дарынды балаларға арналған облыстық көпсалалы дарынды балаларға арналған лицей-интернаты» ММ";"12";;
